location,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Mean Sea Level Pressure
unit,°C,%,hPa
level,2 m elevation corrected,2 m,MSL
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Mean Sea Level Pressure [MSL]
20240101T0000,6.5302453,81.2849,1012.5
20240101T0100,6.2402453,83.22755,1012.6
20240101T0200,6.210245,84.7112,1013.0
20240101T0300,6.170245,84.94641,1013.2
20240101T0400,6.1602454,83.80913,1013.3
20240101T0500,6.130245,84.10285,1013.7
20240101T0600,6.020245,84.32747,1014.1
20240101T0700,6.040245,84.449776,1014.7
20240101T0800,6.290245,82.822174,1015.0
20240101T0900,6.8402452,81.61914,1015.2
20240101T1000,7.4302454,78.20641,1015.6
20240101T1100,8.080246,75.3871,1015.6
20240101T1200,8.210245,75.784424,1015.6
20240101T1300,8.190246,76.4252,1015.1
20240101T1400,8.290245,75.05355,1015.1
20240101T1500,8.080246,75.12102,1015.3
20240101T1600,7.0102453,79.64705,1015.8
20240101T1700,5.7202454,85.010635,1016.3
20240101T1800,5.2602453,86.418076,1016.2
20240101T1900,5.420245,85.39759,1016.3
20240101T2000,5.110245,86.277504,1016.2
20240101T2100,5.3102455,84.65669,1015.1
20240101T2200,5.6002455,84.45306,1014.5
20240101T2300,5.8302455,82.46372,1014.8
20240102T0000,6.1602454,80.252014,1013.8
20240102T0100,6.6402454,77.46423,1012.4
20240102T0200,7.3502455,72.56643,1011.8
20240102T0300,7.5702453,75.34709,1011.1
20240102T0400,7.7202454,79.81503,1010.1
20240102T0500,7.960245,82.068115,1009.5
20240102T0600,8.350245,82.065636,1009.0
20240102T0700,8.590245,81.8136,1008.9
20240102T0800,8.820246,82.017204,1008.9
20240102T0900,9.110246,81.716576,1009.0
20240102T1000,9.270246,82.8227,1008.9
20240102T1100,9.8102455,80.58039,1007.9
20240102T1200,9.890245,80.59219,1006.6
20240102T1300,9.820246,82.49687,1006.1
20240102T1400,9.690246,85.31209,1005.6
20240102T1500,9.670245,86.19404,1005.3
20240102T1600,9.740245,85.788315,1004.5
20240102T1700,9.930245,85.34003,1003.6
20240102T1800,10.280245,83.643074,1002.6
20240102T1900,10.590245,81.530655,1002.3
20240102T2000,10.770246,81.33253,1002.4
20240102T2100,10.940246,79.42699,1002.7
20240102T2200,11.170245,76.72658,1003.7
20240102T2300,11.150246,76.09163,1004.2
20240103T0000,10.960245,79.53919,1004.2
20240103T0100,10.930245,80.08247,1004.5
20240103T0200,10.930245,79.589264,1004.4
20240103T0300,10.760245,80.112114,1004.6
20240103T0400,10.670245,80.87297,1004.5
20240103T0500,10.670245,78.84078,1004.9
20240103T0600,10.630245,76.74078,1005.2
20240103T0700,10.520246,75.56196,1005.6
20240103T0800,10.790245,72.42809,1005.5
20240103T0900,11.270246,67.461555,1005.7
20240103T1000,11.630245,65.40755,1006.1
20240103T1100,11.880245,63.438194,1005.8
20240103T1200,12.270246,65.00892,1004.9
20240103T1300,12.360246,65.66552,1004.1
20240103T1400,12.230246,66.55447,1003.6
20240103T1500,11.680245,69.11898,1003.2
20240103T1600,11.340245,68.75921,1002.9
20240103T1700,11.000245,68.11295,1002.7
20240103T1800,10.100245,78.64177,1003.6
20240103T1900,9.920245,77.90736,1004.4
20240103T2000,10.000245,75.943535,1005.2
20240103T2100,9.880245,73.67892,1005.7
20240103T2200,9.600245,73.21427,1006.0
20240103T2300,9.540245,73.71763,1006.5
20240104T0000,9.330245,73.98857,1006.7
20240104T0100,9.160245,75.212715,1007.2
20240104T0200,8.980246,75.70946,1007.9
20240104T0300,8.760245,79.25285,1008.9
